seed,arm,attempted_index,successful_optimizer_steps,skip,scale_before,scale_after,update_norm,raw_grad_norm,raw_grad_nonfinite_count,first_moment_norm,second_moment_norm,lr_multiplier,actual_lr,internal_steps
50,A,1,0,True,65536.0,32768.0,0,inf,55063089,0.0,0.0,,,0
50,A,2,0,True,32768.0,16384.0,0,inf,44376453,0.0,0.0,,,0
50,A,3,0,True,16384.0,8192.0,0,inf,44374010,0.0,0.0,,,0
50,A,4,0,True,8192.0,4096.0,0,inf,44373138,0.0,0.0,,,0
50,A,5,0,True,4096.0,2048.0,0,inf,237,0.0,0.0,,,0
50,A,6,0,True,2048.0,1024.0,0,inf,40,0.0,0.0,,,0
50,A,7,0,True,1024.0,512.0,0,inf,8,0.0,0.0,,,0
50,A,8,0,True,512.0,256.0,0,inf,1,0.0,0.0,,,0
50,A,9,1,False,256.0,256.0,0.37114090855308063,3711.4085941981498,0,371.1408663313098,1722.8307436479142,1.0,0.0001,1
50,A,10,2,False,256.0,256.0,0.60214956598645797,10117.631051210654,0,1144.0842167168169,6226.4680673005405,1.0,0.0001,2
50,A,11,2,True,256.0,128.0,0,inf,1,1144.0842167168169,6226.4680673005405,,,2
50,A,12,3,False,128.0,128.0,0.51451540792016282,7476.6364670638304,0,1394.3367347375304,7240.814290999918,1.0,0.0001,3
50,A,13,4,False,128.0,128.0,0.42523474520092758,9285.1682008865137,0,1462.382323695666,9639.770094972188,1.0,0.0001,4
50,A,14,5,False,128.0,128.0,0.35658537684348174,7559.888354237567,0,1460.2526647608252,10847.472812561562,1.0,0.0001,5
50,A,15,6,False,128.0,128.0,0.0085754606688765722,6624.4730013007602,0,1474.788708549216,12122.603426342363,1.0,0.0001,6
50,A,16,7,False,128.0,128.0,0.010397890497907725,9341.4688656067083,0,1882.3390089272448,15130.264482999277,1.0,0.0001,7
50,A,17,8,False,128.0,128.0,0.012036196593138326,8595.4824077403664,0,2406.8062127557714,18045.120452998435,1.0,0.0001,8
50,A,18,9,False,128.0,128.0,0.013652745105591441,7932.5617625940195,0,2891.3012380259956,20592.32980663836,1.0,0.0001,9
50,A,19,10,False,128.0,128.0,0.015052411454473376,6935.9135676075293,0,3262.4915856110833,22696.622057482095,1.0,0.0001,10
50,A,20,11,False,128.0,128.0,0.016388642045389788,8323.8665061591073,0,3728.0267318968363,25892.152766678915,1.0,0.0001,11
50,A,21,12,False,128.0,128.0,0.017889551298389397,8053.268524549605,0,4145.201592966166,28926.76027710283,1.0,0.0001,12
50,A,22,13,False,128.0,128.0,0.019311899877277411,8667.9091368227255,0,4582.426275466278,32485.89448129348,1.0,0.0001,13
50,A,23,14,False,128.0,128.0,0.020618530500338853,8037.7640237365504,0,4917.29752677903,35623.14018431903,1.0,0.0001,14
50,A,24,15,False,128.0,128.0,0.021661658690050118,6219.4846415946613,0,5041.246943236764,37490.520799180966,1.0,0.0001,15
50,A,25,16,False,128.0,128.0,0.023100338449869147,8742.680901245687,0,5405.740802017083,41169.94569246858,1.0,0.0001,16
50,A,26,17,False,128.0,128.0,0.024114135392597994,7370.8657304354729,0,5596.059638196599,43861.31114378409,1.0,0.0001,17
50,A,27,18,False,128.0,128.0,0.025319001164786924,7329.2979467631603,0,5759.131665243416,46691.06157417124,1.0,0.0001,18
50,A,28,19,False,128.0,128.0,0.02636466029982909,7929.0336588890059,0,5972.217421766608,49875.202918836214,1.0,0.0001,19
50,A,29,20,False,128.0,128.0,0.027790205392715941,8203.6004817541561,0,6191.126223503773,53136.46817745261,1.0,0.0001,20
50,A,30,21,False,128.0,128.0,0.028820576161093837,7406.267666890536,0,6308.647172929849,55896.073707758565,1.0,0.0001,21
50,A,31,22,False,128.0,128.0,0.029889976206176616,6596.3951306578492,0,6332.446553933959,58170.473609936234,1.0,0.0001,22
50,A,32,23,False,128.0,128.0,0.031064483737332605,7203.3770696366591,0,6401.755916885513,60819.29414678121,1.0,0.0001,23
50,A,33,24,False,128.0,128.0,0.032113253713910349,7418.827147737511,0,6493.291510937342,63838.624466690126,1.0,0.0001,24
50,A,34,25,False,128.0,128.0,0.033443628074231631,7654.2275292153263,0,6605.176948324218,66867.617306244,1.0,0.0001,25
50,A,35,26,False,128.0,128.0,0.034251738403526938,5254.6630401746224,0,6457.791330029455,68235.86943734028,1.0,0.0001,26
50,A,36,27,False,128.0,128.0,0.035064565980464306,7172.2431633416181,0,6522.683481093172,71057.66551582592,1.0,0.0001,27
50,A,37,28,False,128.0,128.0,0.036205235441555288,7829.9702115882283,0,6646.9701335083355,74124.89966975384,1.0,0.0001,28
50,A,38,29,False,128.0,128.0,0.036856741711406536,6841.0884923344638,0,6642.260071851787,76692.44517481994,1.0,0.0001,29
50,A,39,30,False,128.0,128.0,0.03772154656252627,6210.0704112360236,0,6593.09684308017,78725.41131759413,1.0,0.0001,30
50,A,40,31,False,128.0,128.0,0.038766370318904946,6225.8735202371063,0,6551.100451253866,80849.40204392842,1.0,0.0001,31
50,A,41,32,False,128.0,128.0,0.039798855850795116,7675.7649306953954,0,6654.833155217502,83940.60213265046,1.0,0.0001,32
50,A,42,33,False,128.0,128.0,0.040508339207348788,5835.3597228448907,0,6561.045981627117,85594.71015110963,1.0,0.0001,33
50,A,43,34,False,128.0,128.0,0.041168448088272067,5266.3830092180096,0,6416.754391458518,87152.74924869523,1.0,0.0001,34
50,A,44,35,False,128.0,128.0,0.042161807152603765,7030.8638719789406,0,6471.422307063998,89880.66438328206,1.0,0.0001,35
50,A,45,36,False,128.0,128.0,0.04284729055173464,5572.0898554397745,0,6370.622453481211,91676.9423196342,1.0,0.0001,36
50,A,46,37,False,128.0,128.0,0.043749477764154686,6489.1367462981088,0,6374.831964764834,93777.02967548445,1.0,0.0001,37
50,A,47,38,False,128.0,128.0,0.044707053514675882,6535.1003729790791,0,6388.527334943759,96027.8352587459,1.0,0.0001,38
50,A,48,39,False,128.0,128.0,0.045236028466055518,5957.1461171474512,0,6292.707158097415,98444.47636241879,1.0,0.0001,39
50,A,49,40,False,128.0,128.0,0.04632076545741548,7627.7872348951014,0,6419.34660643945,101724.4206684085,1.0,0.0001,40
50,A,50,41,False,128.0,128.0,0.046983241604977036,5726.756638125692,0,6343.024846707537,103733.67447925759,1.0,0.0001,41
50,A,51,42,False,128.0,128.0,0.047281811594685023,4513.2653503914662,0,6148.686412538387,104822.52960687969,1.0,0.0001,42
50,A,52,43,False,128.0,128.0,0.047788508909001153,6645.9473698565762,0,6172.219420864601,107005.54031792689,1.0,0.0001,43
50,A,53,44,False,128.0,128.0,0.048803891236540359,5556.9182176852428,0,6100.063667079697,108837.63743696689,1.0,0.0001,44
50,A,54,45,False,128.0,128.0,0.049523206894398548,5250.1297726942221,0,5996.640720197199,110276.82391672784,1.0,0.0001,45
50,A,55,46,False,128.0,128.0,0.050650850507445347,5789.8624810920692,0,5954.528818684539,111839.92147917827,1.0,0.0001,46
50,A,56,47,False,128.0,128.0,0.051128060069665894,4446.8922576077312,0,5777.55647564903,113092.02984427221,1.0,0.0001,47
50,A,57,48,False,128.0,128.0,0.052115635247015436,6266.821066507342,0,5817.396723016067,115467.90726684945,1.0,0.0001,48
50,A,58,49,False,128.0,128.0,0.053583785633852819,6843.0555414529381,0,5912.567364688107,118049.94171044881,1.0,0.0001,49
50,A,59,50,False,128.0,128.0,0.054659200804277525,6699.9289754434903,0,5978.650004617251,120809.33851445866,1.0,0.0001,50
