seed,aa_kid50k,ba_kid50k,delta_kid_ba_minus_aa,aa_fid50k,ba_fid50k,log_fid_contrast_ba_minus_aa
50,0.0071945455856621265,0.006684369873255491,-0.0005101757124066353,11.578598071369743,10.86740872008123,-0.06339011567024677
51,0.00540600810199976,0.005143420305103064,-0.0002625877968966961,8.626674454487627,8.32431310939327,-0.03567856064526831
52,0.005562820006161928,0.004685786087065935,-0.000877033919095993,8.824924759559256,7.865091597317183,-0.1151458943174366
53,0.007176223210990429,0.004856301471590996,-0.002319921739399433,10.734535910861254,7.951925548969259,-0.3000520922343983
54,0.004790581297129393,0.004577011801302433,-0.0002135694958269596,7.753432845721833,7.636236925718501,-0.015230760281293776
55,0.006844511721283197,0.006427324377000332,-0.0004171873442828655,10.736453780268329,10.090459005260554,-0.062054522062757744
56,0.006928779184818268,0.005443742964416742,-0.0014850362204015255,10.98816185164702,8.839140016503805,-0.2176289092632624
57,0.006621100939810276,0.005341670010238886,-0.0012794309295713902,10.604410488369291,8.925379988184009,-0.17237109592130695
59,0.004595371428877115,0.004544477444142103,-5.0893984735012054e-05,7.548126818765351,7.609740229394859,0.008129606859835548
60,0.006457204930484295,0.006044440902769566,-0.0004127640277147293,10.23868712741847,9.692497835218667,-0.05482123396179084
61,0.005225549452006817,0.005278803873807192,5.3254421800374985e-05,8.371350691889159,8.029263887691428,-0.04172239098607289
62,0.006395656615495682,0.005878061521798372,-0.0005175950936973095,10.08371074599772,9.591641104268772,-0.05002932359034418
63,0.006937885656952858,0.006686213426291943,-0.0002516722306609154,10.93371795745829,10.938629349192901,0.00044909599763576225
64,0.007299447897821665,0.006308464333415031,-0.0009909835644066334,11.405756965264082,10.023756981364961,-0.12916025126418118
66,0.0055255102925002575,0.004656125325709581,-0.0008693849667906761,9.0813970921017,7.921486536062167,-0.13664916338486943
69,0.007262807805091143,0.006415918003767729,-0.0008468898013234138,11.41083116145779,9.907719208541808,-0.14124883486871465
70,0.005803362000733614,0.005308354273438454,-0.0004950077272951603,8.77449386347513,8.40220871103511,-0.04335447523632885
71,0.0048858546651899815,0.005494988057762384,0.000609133392572403,7.863431501602717,8.567418449996609,0.08574336721080256
72,0.006635539699345827,0.0052936989814043045,-0.0013418407179415226,10.572812014290815,8.84647701630044,-0.178266499291452
73,0.004659851081669331,0.004546362441033125,-0.00011348864063620567,7.737402759680709,7.442600791998229,-0.03884571394673486
74,0.007167438976466656,0.0047485423274338245,-0.002418896649032831,11.211377872202661,8.047992072861224,-0.3315065157149144
75,0.0064792996272444725,0.005932222120463848,-0.0005470775067806244,10.40881347096809,9.654776325252303,-0.07520014751132154
76,0.005967156030237675,0.005432929378002882,-0.0005342266522347927,9.233767312680417,8.710650932589866,-0.05832060278517481
77,0.0067478809505701065,0.005312158260494471,-0.001435722690075636,10.453498403197488,8.559084088327172,-0.19994351240998043
78,0.006648112554103136,0.006930263713002205,0.00028215115889906883,10.480247950879082,10.813373105697938,0.03129128060980113
79,0.006629440933465958,0.006646411027759314,1.6970094293355942e-05,10.596321504476466,10.558344003547738,-0.0035904648752809187
