seed,arm,window,sum_update_norm,net_displacement_norm,net_displacement_note
50,early,1_5,1.959602969739457,,not retained in historical early telemetry; not inferred from scalar norms
50,early,6_10,0.06629844488482509,,not retained in historical early telemetry; not inferred from scalar norms
50,delayed,1_5,2.2696260045041106,1.9501353034508848,recorded window-vector accumulation
50,delayed,6_10,0.05427501891721111,0.05354608340555854,recorded window-vector accumulation
51,early,1_5,1.5728020494006918,,not retained in historical early telemetry; not inferred from scalar norms
51,early,6_10,0.07079594396220758,,not retained in historical early telemetry; not inferred from scalar norms
51,delayed,1_5,1.8915624389500343,1.0641048795414092,recorded window-vector accumulation
51,delayed,6_10,0.0629309201857783,0.060970608616399066,recorded window-vector accumulation
52,early,1_5,1.8696543926971798,,not retained in historical early telemetry; not inferred from scalar norms
52,early,6_10,0.06956609694503828,,not retained in historical early telemetry; not inferred from scalar norms
52,delayed,1_5,1.981547816811474,1.4958887949818716,recorded window-vector accumulation
52,delayed,6_10,0.06833648082345553,0.06724854710274268,recorded window-vector accumulation
53,early,1_5,1.6774241404675376,,not retained in historical early telemetry; not inferred from scalar norms
53,early,6_10,0.07444415877904689,,not retained in historical early telemetry; not inferred from scalar norms
53,delayed,1_5,2.0597419591531327,1.7063575291618496,recorded window-vector accumulation
53,delayed,6_10,0.057207464367343155,0.056596794146772655,recorded window-vector accumulation
54,early,1_5,1.7589684282260325,,not retained in historical early telemetry; not inferred from scalar norms
54,early,6_10,0.06809182860251575,,not retained in historical early telemetry; not inferred from scalar norms
54,delayed,1_5,2.109286787320797,1.2651103144103886,recorded window-vector accumulation
54,delayed,6_10,0.060831298280727496,0.058688276105523345,recorded window-vector accumulation
55,early,1_5,1.9140780642883959,,not retained in historical early telemetry; not inferred from scalar norms
55,early,6_10,0.06505084839045326,,not retained in historical early telemetry; not inferred from scalar norms
55,delayed,1_5,2.2518042252945127,1.78888868841383,recorded window-vector accumulation
55,delayed,6_10,0.05634425992347516,0.05549414654403412,recorded window-vector accumulation
56,early,1_5,1.8880534397085078,,not retained in historical early telemetry; not inferred from scalar norms
56,early,6_10,0.06716356211332339,,not retained in historical early telemetry; not inferred from scalar norms
56,delayed,1_5,2.153814910757889,1.7574313609451309,recorded window-vector accumulation
56,delayed,6_10,0.05686856902797527,0.05621200122551382,recorded window-vector accumulation
57,early,1_5,1.7595476999623743,,not retained in historical early telemetry; not inferred from scalar norms
57,early,6_10,0.06958426315182117,,not retained in historical early telemetry; not inferred from scalar norms
57,delayed,1_5,2.0809414917149898,1.7154687873188552,recorded window-vector accumulation
57,delayed,6_10,0.05622606043219132,0.05559223585856834,recorded window-vector accumulation
