training_seed,audit_batch_id,a_star,R_opt_A,R_opt_B,R_opt_C,R_opt_D,absolute_residual_A,absolute_residual_B,absolute_residual_C,absolute_residual_D,B_minus_D_R_opt,A_minus_C_R_opt,A_minus_B_R_opt,C_minus_D_R_opt,B_over_D_R_opt,A_over_C_R_opt,B_minus_D_absolute_residual,A_minus_C_absolute_residual,A_minus_B_absolute_residual,C_minus_D_absolute_residual,A_minus_B_minus_C_plus_D_R_opt
3,2026081101,0.922529306742762,0.07785777667258152,0.43391241991741664,0.03166367656877449,0.0005982790196209071,0.012589408733517847,0.7869696275517767,0.005119937703931312,0.001085074765393248,0.43331414089779574,0.046194100103807034,-0.3560546432448351,0.031065397549153582,725.2676521940557,2.4588988111810712,0.7858845527863835,0.007469471029586535,-0.7743802188182588,0.004034862938538064,-0.3871200407939887
3,2026081102,0.8357114979409501,0.07965587883768122,0.47686078792185027,0.059263341912773805,0.0014252878353600601,0.01266100416204915,0.8646136596206101,0.009419686651672792,0.0025842412766078743,0.4754355000864902,0.02039253692490741,-0.39720490908416906,0.05783805407741374,334.5715693990922,1.3441003538903016,0.8620294183440023,0.003241317510376358,-0.8519526554585609,0.006835445375064917,-0.4550429631615828
3,2026081103,0.6678680943655977,0.10603762376647133,0.5500503122552424,0.1221013578519731,0.0033476178769398885,0.01672588528677305,0.9973142872073284,0.019259704548727167,0.006069675923088243,0.5467026943783024,-0.01606373408550177,-0.44401268848877107,0.1187537399750332,164.31096154799252,0.8684393493397814,0.9912446112842401,-0.0025338192619541178,-0.9805884019205553,0.013190028625638924,-0.5627664284638042
3,2026081104,0.8388668307122542,0.07777713550551124,0.472673363519976,0.05655000801355999,0.001470809307957167,0.012177367266964617,0.8571324486474174,0.008853890183216072,0.0026671238130165156,0.47120255421201884,0.02122712749195125,-0.3948962280144648,0.05507919870560282,321.36957589456676,1.3753691332256088,0.854465324834401,0.0033234770837485446,-0.8449550813804528,0.006186766370199557,-0.4499754267200676
3,2026081105,0.9403041121204375,0.09410390362420265,0.5341274462409098,0.020766938458596437,0.0004998549902528834,0.014653518110431215,0.9686099340643124,0.0032337522364267574,0.0009064587722612332,0.533627591250657,0.07333696516560621,-0.4400235426167072,0.020267083468343553,1068.564797103831,4.531428829137234,0.9677034752920511,0.011419765874004457,-0.9539564159538811,0.002327293464165524,-0.4602906260850507
3,2026081106,0.7920355472378634,0.08640019008353102,0.47714547876011726,0.08143682775327893,0.0019454620193121673,0.01385607159359083,0.8652857609202811,0.013060092976802884,0.0035280237551372612,0.4752000167408051,0.0049633623302520885,-0.39074528867658626,0.07949136573396676,245.26075247093007,1.0609473928096647,0.8617577371651438,0.0007959786167879464,-0.8514296893266903,0.009532069221665622,-0.470236654410553
3,2026081107,0.7514949325768412,0.06927482227020544,0.4423732857439695,0.08762183798341866,0.0025787408988851464,0.010824042332477371,0.8021559600055708,0.013690724169348124,0.004676033675659272,0.43979454484508435,-0.01834701571321322,-0.3730984634737641,0.08504309708453352,171.5462324792764,0.790611380273886,0.7974799263299115,-0.0028666818368707526,-0.7913319176730934,0.009014690493688853,-0.4581415605582976
3,2026081108,0.5749458551026081,0.10829617834343658,0.5491096538204866,0.16953338571415985,0.004587466792164866,0.0176317010002223,0.995868707447018,0.027601730847675726,0.008319858507282535,0.5445221870283218,-0.06123720737072327,-0.44081347547705,0.16494591892199498,119.69779372753932,0.6387896866876022,0.9875488489397355,-0.009970029847453425,-0.9782370064467958,0.01928187234039319,-0.605759394399045
4,2026081101,0.856565730583998,0.08165964830053954,0.4690594463549028,0.05687787154298303,0.0010392954678243177,0.012106269091375138,0.8507862206372734,0.008432302031350671,0.0018850878498813458,0.4680201508870785,0.02478177675755651,-0.3873997980543633,0.05583857607515871,451.32444129371737,1.435701549394807,0.848901132787392,0.0036739670600244665,-0.8386799515458983,0.006547214181469326,-0.443238374129522
4,2026081102,0.7334442919665249,0.08950390034344946,0.5208343021617772,0.0999134235053001,0.002271283522476181,0.012899711936485491,0.9444303372378274,0.014399980077524938,0.0041185249400655195,0.518563018639301,-0.010409523161850634,-0.4313304018183277,0.09764213998282391,229.3127639097902,0.8958145682867283,0.940311812297762,-0.0015002681410394465,-0.9315306253013419,0.010281455137459417,-0.5289725418011516
4,2026081103,0.7978512350813477,0.13388660976480674,0.5844163493868647,0.07902225779702995,0.0015618131171285883,0.01987749397199835,1.059786323482999,0.01173205039528196,0.0028322071809006627,0.5828545362697362,0.05486435196777678,-0.450529739622058,0.07746044467990136,374.19095983860154,1.6942898557605988,1.0569541163020983,0.008145443576716389,-1.0399088295110006,0.008899843214381298,-0.5279901843019594
4,2026081104,0.7792105137313782,0.0716465641074634,0.4582345733983861,0.07535165173091223,0.0018474262396448843,0.010323083996381105,0.831080548826275,0.010856925796435128,0.003350598366625864,0.4563871471587412,-0.00370508762344883,-0.3865880092909227,0.07350422549126734,248.0394418813001,0.9508293774809338,0.8277299504596491,-0.0005338418000540232,-0.8207574648298939,0.007506327429809264,-0.46009223478219
4,2026081105,0.7341970873577836,0.08602010962098589,0.5008336102059493,0.09367241993886664,0.0022936330572823184,0.01232621594113808,0.908349824926207,0.013422750575218407,0.004159906890375478,0.498539977148667,-0.007652310317880759,-0.4148135005849634,0.09137878688158432,218.3582106195214,0.9183077545890789,0.9041899180358315,-0.0010965346340803261,-0.8960236089850689,0.009262843684842929,-0.5061922874665477
4,2026081106,0.9058964769978779,0.0933759030742662,0.4806374444333897,0.04509753884479777,0.0006416204049874322,0.01515550444444042,0.8718159232888963,0.00731961810160012,0.00116381878327134,0.47999582402840224,0.04827836422946843,-0.3872615413591235,0.04445591843981034,749.0993751091881,2.0705321280528723,0.870652104505625,0.007835886342840302,-0.8566604188444559,0.00615579931832878,-0.43171745979893383
4,2026081107,0.8168470901804809,0.08475173350828581,0.46018315392891995,0.07363717506683638,0.001494219528609816,0.012489722468124503,0.8346315454311353,0.010851788416004116,0.00271005738417279,0.4586889344003101,0.01111455844144943,-0.37543142042063415,0.07214295553822657,307.9755987107615,1.1509367847335448,0.8319214880469625,0.0016379340521203867,-0.8221418229630107,0.008141731031831325,-0.4475743759588607
4,2026081108,0.7848015789907264,0.13059152708690436,0.60615358744797,0.07933542610499619,0.0017085520256106869,0.018699900864752476,1.0994028856744429,0.011360343479551022,0.003098863169629492,0.6044450354223593,0.051256100981908165,-0.47556206036106563,0.07762687407938551,354.7761954929718,1.6460682635532007,1.0963040225048133,0.007339557385201454,-1.0807029848096905,0.008261480309921531,-0.5531889344404511
5,2026081101,0.7298642635531981,0.08931871831421324,0.48237493414012794,0.1048883683532635,0.0012799691353130927,0.01295956319172537,0.8751630604508248,0.015218617815016046,0.00232222204443524,0.48109496500481486,-0.015569650039050253,-0.3930562158259147,0.10360839921795041,376.86450464458613,0.8515598032127666,0.8728408384063896,-0.002259054623290676,-0.8622034972590994,0.012896395770580805,-0.4966646150438651
5,2026081102,0.8971264473081322,0.06318018261998941,0.4180250881167485,0.03619360141362208,0.0004406550852564739,0.009214754839716148,0.7583957378887366,0.00527879391863947,0.0007994518703245219,0.417584433031492,0.02698658120636733,-0.35484490549675907,0.035752946328365606,948.6446477145405,1.7456174614392053,0.7575962860184121,0.003935960921076677,-0.7491809830490205,0.004479342048314948,-0.3905978518251247
5,2026081103,0.8241815820426489,0.08665100473951058,0.49016478197321695,0.0664278886496361,0.0007644402898360009,0.01264265889962017,0.8892943354157208,0.009692041542322258,0.0013869058825035148,0.4894003416833809,0.020223116089874482,-0.40351377723370635,0.06566344835980009,641.2074147457278,1.30443713477841,0.8879074295332172,0.002950617357297911,-0.8766516765161007,0.008305135659818743,-0.46917722559350644
