seed,arm,block,late_horizons,late_median_raw_propagation_gain_G,late_raw_propagation_gain_G_min,late_raw_propagation_gain_G_max,late_median_corrected_R_over_delta_k,late_corrected_R_over_delta_k_min,late_corrected_R_over_delta_k_max,late_median_cos_corrected_R_delta_k,corrected_alignment_sign_h256,corrected_alignment_sign_h500,late_corrected_direction_stable,late_corrected_R_norm_min,late_closure_all_pass,carryover_rule,raw_propagation_label,legacy_pr89_raw_label,corrected_feedback_numerically_nonzero,claim_ceiling
3,B,EMA,256;500,1.0047427393462467,1.0030670091098268,1.0064184695826663,0.006469662803558788,0.004382790327821352,0.008556535279296224,0.844770853967153,positive,positive,True,0.003995785695454212,True,ema_transition_carryover_counterfactual_map,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
3,B,m,256;500,0.8944910112745288,0.8935482130868241,0.8954338094622336,0.039008152954669154,0.038764548637294526,0.039251757272043775,-0.162607816391516,negative,negative,True,12.537730702808773,True,radam_beta1_per_parameter_group,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
3,B,theta,256;500,1.002121512567283,1.0008807398430846,1.0033622852914819,0.015704731577290375,0.012259552731741733,0.01914991042283902,0.11602012957046828,positive,positive,True,0.10502472893294855,True,identity_parameter_carryover,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
3,B,v,256;500,0.9991202391537746,0.9990645115028747,0.9991759668046744,0.00019951308700175873,0.00013063430289188816,0.00026839187111162927,0.5746222639159749,positive,positive,True,0.7056863055527554,True,radam_beta2_per_parameter_group,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
3,C,EMA,256;500,1.0048593294749275,1.0030715291234356,1.0066471298264192,0.006525400804576219,0.004382079802663875,0.008668721806488562,0.8532123116782638,positive,positive,True,0.004178074206895307,True,ema_transition_carryover_counterfactual_map,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
3,C,m,256;500,0.890185577178036,0.8879840891593437,0.8923870651967283,0.0644299868770769,0.03700661894610256,0.09185335480805125,-0.23832381299129618,negative,negative,True,13.558380084092779,True,radam_beta1_per_parameter_group,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
3,C,theta,256;500,1.001920536759258,1.0011656370478446,1.0026754364706718,0.014670658920876607,0.012315995375567873,0.017025322466185343,0.1186917088550766,positive,positive,True,0.10128939417523544,True,identity_parameter_carryover,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
3,C,v,256;500,0.9994515675283806,0.9990975235089202,0.999805611547841,0.0007126832635360791,0.00021201079030469888,0.0012133557367674593,0.5617469174155729,positive,positive,True,0.8293791154536827,True,radam_beta2_per_parameter_group,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
3,D,EMA,256;500,1.0048672889467927,1.0030178706269182,1.006716707266667,0.0065487552117129335,0.0043277941471529914,0.008769716276272876,0.8514841994121798,positive,positive,True,0.00395985376041239,True,ema_transition_carryover_counterfactual_map,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
3,D,m,256;500,0.8855943273759157,0.8815500323876708,0.8896386223641606,0.04879788667720725,0.03768274756942737,0.05991302578498712,-0.35537913372948593,negative,negative,True,12.810236802642716,True,radam_beta1_per_parameter_group,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
