q,cohort,seed,arm,window,sum_update_norm,net_displacement_norm,net_source
128,fresh301_308,301,AA,1_5,0.9563705296123444,0.6387856033201385,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,301,AA,6_10,0.07564949939956782,0.07408648428369848,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,301,DA,1_5,0.8911655241978039,0.5228699159524501,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,301,DA,6_10,0.06292893745004505,0.05939277683933832,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,301,A_startup_down5,1_5,0.8850364425728008,0.5224707640293772,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,301,A_startup_down5,6_10,0.06294322149166807,0.05952716322716615,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,301,D_startup_up5,1_5,0.9670230606592063,0.6418963907932754,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,301,D_startup_up5,6_10,0.07543650023175101,0.07388672972660668,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,302,DA,1_5,1.0454792358164609,0.5631671091230501,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,302,DA,6_10,0.06332130704346531,0.060007752997979176,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,302,A_startup_down5,1_5,0.9410082187512581,0.515174124808176,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,302,A_startup_down5,6_10,0.06300969213344498,0.0594097151092291,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,302,D_startup_up5,1_5,1.050152197103496,0.5918726431088913,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,302,D_startup_up5,6_10,0.06293933351401747,0.059143734637067694,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,302,AA,1_5,1.0326673102758988,0.5881432137514342,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,302,AA,6_10,0.06300831631896633,0.05921192553837237,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,303,A_startup_down5,1_5,0.695548740647475,0.5306471684462422,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,303,A_startup_down5,6_10,0.07713701523582348,0.07456402857188654,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,303,D_startup_up5,1_5,0.8420384554488582,0.5578618819128823,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,303,D_startup_up5,6_10,0.062166758281177494,0.058637016605603706,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,303,AA,1_5,0.8446985720282654,0.5561992857023617,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,303,AA,6_10,0.06223271739454089,0.05867423600292222,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,303,DA,1_5,0.698486346838845,0.5324400651630087,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,303,DA,6_10,0.07684708589677836,0.07424127976172536,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,304,D_startup_up5,1_5,1.088023239284643,0.8870887233697926,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,304,D_startup_up5,6_10,0.07729803205509404,0.07650322303296936,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,304,AA,1_5,1.0874899334326358,0.8797853797140252,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,304,AA,6_10,0.07689556278878117,0.0761656541940749,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,304,DA,1_5,0.9450789018610862,0.7493683859724428,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,304,DA,6_10,0.07974598339903193,0.07882817372715972,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,304,A_startup_down5,1_5,0.9449390804962448,0.7421491885992887,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,304,A_startup_down5,6_10,0.07953215241603193,0.07863036577698021,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,305,AA,1_5,0.7684834420240243,0.509177424018865,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,305,AA,6_10,0.061884171070683947,0.05857241529533131,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,305,DA,1_5,0.5967804372903154,0.4792902824772569,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,305,DA,6_10,0.0628555074145103,0.059574107159717525,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,305,A_startup_down5,1_5,0.5900644122682567,0.47917346059797616,existing float64 window-vector accumulator; not reconstructed from scalar norms
128,fresh301_308,305,A_startup_down5,6_10,0.0629171031633356,0.05963855996467566,existing float64 window-vector accumulator; not reconstructed from scalar norms
