attempted_iteration,successful_optimizer_steps,processed_nimg,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,gap_over_sigmoid_gap_mean,lower_gap_clip_rate,upper_gap_clip_rate,elapsed_sec,peak_vram_gb
1,0,128.0,0.128000,16.46615648,65536,1,global_sigmoid,0,1,,,0.1,0,0,0.966616953961,0.0333830460387,1.10000011413,0,0,10.581565,5.776824
2,0,256.0,0.256000,14.79567587,32768,1,global_sigmoid,0,1,,,0.1,0,0,0.968985942491,0.0310140575092,1.10000002562,0,0,12.348037,2.085871
3,0,384.0,0.384000,16.28606951,16384,1,global_sigmoid,0,1,,,0.1,0,0,0.966501267448,0.0334987325518,1.10000025494,0,0,13.438447,2.085871
4,0,512.0,0.512000,15.25283372,8192,1,global_sigmoid,0,1,,,0.1,0,0,0.968806341884,0.0311936581155,1.09999983806,0,0,14.528908,2.085871
5,0,640.0,0.640000,14.18069029,4096,1,global_sigmoid,0,1,,,0.1,0,0,0.969154247049,0.030845752951,1.10000004175,0,0,15.623185,2.085871
6,0,768.0,0.768000,18.43874168,2048,1,global_sigmoid,0,1,,,0.1,0,0,0.966477305629,0.033522694371,1.09999981462,0,0,16.713798,2.085871
7,0,896.0,0.896000,14.61830783,1024,1,global_sigmoid,0,1,,,0.1,0,0,0.968689251681,0.0313107483186,1.1000000326,0,0,17.805748,2.085871
8,1,1024.0,1.024000,15.14415705,512,0,global_sigmoid,0,1,,,0.1,0,0,0.967713711913,0.0322862880868,1.10000002845,0,0,18.984201,2.085871
9,2,1152.0,1.152000,17.11513841,512,0,global_sigmoid,0,2,,,0.1,0,0,0.967702622779,0.0322973772209,1.09999995544,0,0,20.122349,2.504226
10,3,1280.0,1.280000,16.63065732,512,0,global_sigmoid,0,2,,,0.1,0,0,0.968766152917,0.0312338470831,1.10000014521,0,0,21.221261,2.504226
11,4,1408.0,1.408000,27.52922821,512,0,global_sigmoid,0,2,,,0.1,0,0,0.966351698556,0.0336483014437,1.09999981341,0,0,22.321369,2.504226
12,5,1536.0,1.536000,25.63913417,512,0,global_sigmoid,0,2,,,0.1,0,0,0.968016937932,0.0319830620682,1.09999999906,0,0,23.397816,2.504226
13,6,1664.0,1.664000,20.26803207,512,0,global_sigmoid,0,2,,,0.1,0,0,0.969906524896,0.0300934751042,1.10000021964,0,0,24.491552,2.504226
14,7,1792.0,1.792000,22.79913735,512,0,global_sigmoid,0,2,,,0.1,0,0,0.966730871786,0.0332691282142,1.10000012109,0,0,25.585363,2.504226
15,8,1920.0,1.920000,19.90502429,512,0,global_sigmoid,0,2,,,0.1,0,0,0.96927741162,0.03072258838,1.10000011993,0,0,26.677556,2.504226
16,8,2048.0,2.048000,20.44787097,512,1,global_sigmoid,0,2,,,0.1,0,0,0.969640833139,0.0303591668609,1.09999998367,0,0,27.747712,2.504226
17,9,2176.0,2.176000,21.17573214,256,0,global_sigmoid,0,3,,,0.1,0,0,0.968732538013,0.0312674619866,1.09999993531,0,0,28.857224,2.504226
18,10,2304.0,2.304000,21.60362792,256,0,global_sigmoid,0,3,,,0.1,0,0,0.968082405753,0.0319175942466,1.10000025867,0,0,29.967724,2.504226
19,11,2432.0,2.432000,20.71400261,256,0,global_sigmoid,0,3,,,0.1,0,0,0.968937926463,0.0310620735374,1.10000001205,0,0,31.066061,2.504226
20,12,2560.0,2.560000,21.65040588,256,0,global_sigmoid,0,3,,,0.1,0,0,0.967656406056,0.0323435939442,1.10000000892,0,0,32.159824,2.504226
21,13,2688.0,2.688000,21.13112664,256,0,global_sigmoid,0,3,,,0.1,0,0,0.968132643941,0.0318673560592,1.10000013753,0,0,33.251515,2.504226
22,14,2816.0,2.816000,22.70702124,256,0,global_sigmoid,0,3,,,0.1,0,0,0.966749881355,0.0332501186449,1.10000000423,0,0,34.341463,2.504226
23,15,2944.0,2.944000,19.41282725,256,0,global_sigmoid,0,3,,,0.1,0,0,0.969879393046,0.0301206069541,1.10000010163,0,0,35.432550,2.504226
24,16,3072.0,3.072000,21.07512641,256,0,global_sigmoid,0,3,,,0.1,0,0,0.96844282717,0.0315571728302,1.09999974029,0,0,36.528393,2.504226
25,17,3200.0,3.200000,21.89864349,256,0,global_sigmoid,0,4,,,0.1,0,0,0.967327565466,0.032672434534,1.10000003768,0,0,37.623529,2.504226
26,18,3328.0,3.328000,21.62621832,256,0,global_sigmoid,0,4,,,0.1,0,0,0.968189569103,0.0318104308974,1.10000016326,0,0,38.718881,2.504226
27,19,3456.0,3.456000,21.96573973,256,0,global_sigmoid,0,4,,,0.1,0,0,0.967277660223,0.0327223397768,1.10000008902,0,0,39.814322,2.504226
28,20,3584.0,3.584000,22.75296879,256,0,global_sigmoid,0,4,,,0.1,0,0,0.966956745675,0.0330432543254,1.10000010377,0,0,40.910578,2.504226
29,21,3712.0,3.712000,20.22433472,256,0,global_sigmoid,0,4,,,0.1,0,0,0.969021691991,0.0309783080087,1.09999987025,0,0,42.005432,2.504226
30,22,3840.0,3.840000,21.22205758,256,0,global_sigmoid,0,4,,,0.1,0,0,0.967369876381,0.0326301236186,1.10000001238,0,0,43.097996,2.504226
31,23,3968.0,3.968000,21.47040081,256,0,global_sigmoid,0,4,,,0.1,0,0,0.968192636088,0.0318073639118,1.10000008009,0,0,44.184719,2.504226
32,24,4096.0,4.096000,19.82999849,256,0,global_sigmoid,0,4,,,0.1,0,0,0.96909982374,0.0309001762604,1.09999984156,0,0,45.270850,2.504226
33,25,4224.0,4.224000,20.37070835,256,0,global_sigmoid,0,5,,,0.1,0,0,0.969012272693,0.0309877273074,1.09999995259,0,0,46.421983,2.504226
34,26,4352.0,4.352000,20.74729276,256,0,global_sigmoid,0,5,,,0.1,0,0,0.968077472005,0.0319225279948,1.09999988467,0,0,47.568483,2.504226
35,27,4480.0,4.480000,20.11220169,256,0,global_sigmoid,0,5,,,0.1,0,0,0.969245170749,0.0307548292512,1.10000020954,0,0,48.638636,2.504226
36,28,4608.0,4.608000,19.85542023,256,0,global_sigmoid,0,5,,,0.1,0,0,0.96921324644,0.0307867535602,1.09999996514,0,0,49.747771,2.504226
37,29,4736.0,4.736000,19.99853802,256,0,global_sigmoid,0,5,,,0.1,0,0,0.969038805581,0.0309611944192,1.10000005245,0,0,50.833310,2.504226
38,30,4864.0,4.864000,21.22784638,256,0,global_sigmoid,0,5,,,0.1,0,0,0.967838851073,0.0321611489271,1.09999999878,0,0,51.924648,2.504226
39,31,4992.0,4.992000,20.11004114,256,0,global_sigmoid,0,5,,,0.1,0,0,0.968863964974,0.031136035026,1.10000009446,0,0,53.023940,2.504226
40,32,5120.0,5.120000,20.67546439,256,0,global_sigmoid,0,5,,,0.1,0,0,0.967611625279,0.0323883747212,1.09999999883,0,0,54.112494,2.504226
41,33,5248.0,5.248000,19.90830481,256,0,global_sigmoid,0,6,,,0.1,0,0,0.969193353645,0.0308066463548,1.09999988999,0,0,55.204374,2.504226
42,34,5376.0,5.376000,19.26873708,256,0,global_sigmoid,0,6,,,0.1,0,0,0.969725174735,0.0302748252651,1.10000008105,0,0,56.300175,2.504226
43,35,5504.0,5.504000,21.41247642,256,0,global_sigmoid,0,6,,,0.1,0,0,0.96695688677,0.0330431132301,1.10000019838,0,0,57.385799,2.504226
44,36,5632.0,5.632000,22.04577327,256,0,global_sigmoid,0,6,,,0.1,0,0,0.967006070238,0.0329939297617,1.09999988181,0,0,58.479560,2.504226
45,37,5760.0,5.760000,21.25250459,256,0,global_sigmoid,0,6,,,0.1,0,0,0.967374401045,0.0326255989554,1.09999984353,0,0,59.577754,2.504226
46,38,5888.0,5.888000,20.15753746,256,0,global_sigmoid,0,6,,,0.1,0,0,0.969066790841,0.0309332091585,1.1000000411,0,0,60.672934,2.504226
47,39,6016.0,6.016000,19.50957835,256,0,global_sigmoid,0,6,,,0.1,0,0,0.970150349178,0.0298496508219,1.10000014009,0,0,61.765867,2.504226
48,40,6144.0,6.144000,20.69497013,256,0,global_sigmoid,0,6,,,0.1,0,0,0.968427179564,0.0315728204355,1.10000002457,0,0,62.854212,2.504226
49,41,6272.0,6.272000,21.55781436,256,0,global_sigmoid,0,7,,,0.1,0,0,0.967449427804,0.0325505721957,1.09999991958,0,0,63.947700,2.504226
50,42,6400.0,6.400000,19.09210348,256,0,global_sigmoid,0,7,,,0.1,0,0,0.96906730974,0.0309326902605,1.09999976517,0,0,65.050839,2.504226
51,43,6528.0,6.528000,18.96491265,256,0,global_sigmoid,0,7,,,0.1,0,0,0.969201760074,0.0307982399256,1.10000018946,0,0,66.147746,2.504226
52,44,6656.0,6.656000,19.81838059,256,0,global_sigmoid,0,7,,,0.1,0,0,0.968935621644,0.0310643783561,1.10000007479,0,0,67.242963,2.504226
53,45,6784.0,6.784000,20.73310018,256,0,global_sigmoid,0,7,,,0.1,0,0,0.967669013574,0.0323309864265,1.10000002343,0,0,68.336047,2.504226
54,46,6912.0,6.912000,18.38491261,256,0,global_sigmoid,0,7,,,0.1,0,0,0.969667301512,0.030332698488,1.10000027204,0,0,69.425811,2.504226
55,47,7040.0,7.040000,19.87398136,256,0,global_sigmoid,0,7,,,0.1,0,0,0.969016945631,0.0309830543691,1.09999996681,0,0,70.512747,2.504226
56,48,7168.0,7.168000,19.52128124,256,0,global_sigmoid,0,7,,,0.1,0,0,0.969192269854,0.0308077301455,1.09999969201,0,0,71.609939,2.504226
57,49,7296.0,7.296000,18.40617824,256,0,global_sigmoid,0,8,,,0.1,0,0,0.970082836286,0.029917163714,1.10000001582,0,0,72.701549,2.504226
58,50,7424.0,7.424000,20.44447303,256,0,global_sigmoid,0,8,,,0.1,0,0,0.967731128724,0.0322688712757,1.10000017134,0,0,73.794038,2.504226
59,51,7552.0,7.552000,19.49054217,256,0,global_sigmoid,0,8,,,0.1,0,0,0.968505792035,0.0314942079647,1.09999980699,0,0,74.887071,2.504226
60,52,7680.0,7.680000,21.59315896,256,0,global_sigmoid,0,8,,,0.1,0,0,0.96659010812,0.0334098918802,1.10000007079,0,0,75.976390,2.504226
61,53,7808.0,7.808000,19.48904753,256,0,global_sigmoid,0,8,,,0.1,0,0,0.969654348083,0.0303456519169,1.10000011757,0,0,77.065052,2.504226
62,54,7936.0,7.936000,20.27017021,256,0,global_sigmoid,0,8,,,0.1,0,0,0.968542385227,0.0314576147727,1.09999991008,0,0,78.154726,2.504226
63,55,8064.0,8.064000,20.12493598,256,0,global_sigmoid,0,8,,,0.1,0,0,0.968375181691,0.0316248183091,1.10000013317,0,0,79.248849,2.504226
64,56,8192.0,8.192000,19.35037327,256,0,global_sigmoid,0,8,,,0.1,0,0,0.968671970799,0.0313280292011,1.09999993642,0,0,80.341379,2.504226
65,57,8320.0,8.320000,18.23828900,256,0,global_sigmoid,0,9,,,0.1,0,0,0.96980003912,0.0301999608798,1.09999994636,0,0,81.429962,2.504226
66,58,8448.0,8.448000,20.11240673,256,0,global_sigmoid,0,9,,,0.1,0,0,0.967710543279,0.0322894567208,1.09999985667,0,0,82.520854,2.504226
67,59,8576.0,8.576000,18.83588195,256,0,global_sigmoid,0,9,,,0.1,0,0,0.968961242122,0.031038757878,1.09999992436,0,0,83.614586,2.504226
68,60,8704.0,8.704000,20.11753607,256,0,global_sigmoid,0,9,,,0.1,0,0,0.967847729258,0.032152270742,1.10000000574,0,0,84.706450,2.504226
69,61,8832.0,8.832000,18.33098781,256,0,global_sigmoid,0,9,,,0.1,0,0,0.969667722611,0.0303322773886,1.09999985326,0,0,85.794782,2.504226
70,62,8960.0,8.960000,18.60826123,256,0,global_sigmoid,0,9,,,0.1,0,0,0.969110756831,0.0308892431689,1.09999999762,0,0,86.876732,2.504226
71,63,9088.0,9.088000,19.92530417,256,0,global_sigmoid,0,9,,,0.1,0,0,0.96742347772,0.0325765222803,1.09999999769,0,0,87.966490,2.504226
72,64,9216.0,9.216000,19.95113230,256,0,global_sigmoid,0,9,,,0.1,0,0,0.967632201356,0.032367798644,1.10000005834,0,0,89.054926,2.504226
