seed,arm,attempt,successful_step,skipped,optimizer_clock,clock_evidence,applied_multiplier,restored_lr,update_norm,rho,branch,branch_source,scaler_before,scaler_after
50,early,1,0,True,0,actual_all_active_parameters,1.0,0.0001,0.0,1.0,non_adaptive,native RAdam formula from observed clock; proposed branch for AMP skips,65536.0,32768.0
50,early,2,0,True,0,actual_all_active_parameters,1.0,0.0001,0.0,1.0,non_adaptive,native RAdam formula from observed clock; proposed branch for AMP skips,32768.0,16384.0
50,early,3,0,True,0,actual_all_active_parameters,1.0,0.0001,0.0,1.0,non_adaptive,native RAdam formula from observed clock; proposed branch for AMP skips,16384.0,8192.0
50,early,4,0,True,0,actual_all_active_parameters,1.0,0.0001,0.0,1.0,non_adaptive,native RAdam formula from observed clock; proposed branch for AMP skips,8192.0,4096.0
50,early,5,0,True,0,actual_all_active_parameters,1.0,0.0001,0.0,1.0,non_adaptive,native RAdam formula from observed clock; proposed branch for AMP skips,4096.0,2048.0
50,early,6,0,True,0,actual_all_active_parameters,1.0,0.0001,0.0,1.0,non_adaptive,native RAdam formula from observed clock; proposed branch for AMP skips,2048.0,1024.0
50,early,7,0,True,0,actual_all_active_parameters,1.0,0.0001,0.0,1.0,non_adaptive,native RAdam formula from observed clock; proposed branch for AMP skips,1024.0,512.0
50,early,8,0,True,0,actual_all_active_parameters,1.0,0.0001,0.0,1.0,non_adaptive,native RAdam formula from observed clock; proposed branch for AMP skips,512.0,256.0
50,early,9,1,False,1,actual_all_active_parameters,0.9090909090909091,0.0001,0.3374008051151028,1.0,non_adaptive,native RAdam formula from observed clock; proposed branch for AMP skips,256.0,256.0
50,early,10,2,False,2,actual_all_active_parameters,0.9090909090909091,0.0001,0.4687992065518646,1.999499749846109,non_adaptive,native RAdam formula from observed clock; proposed branch for AMP skips,256.0,256.0
50,early,11,3,False,3,actual_all_active_parameters,0.9090909090909091,0.0001,0.4342067370650549,2.9986659997755396,non_adaptive,native RAdam formula from observed clock; proposed branch for AMP skips,256.0,256.0
50,early,12,3,True,3,actual_all_active_parameters,1.0,0.0001,0.0,3.9974987498546852,non_adaptive,native RAdam formula from observed clock; proposed branch for AMP skips,256.0,128.0
50,early,13,4,False,4,actual_all_active_parameters,0.9090909090909091,0.0001,0.3860274796951859,3.9974987498546852,non_adaptive,native RAdam formula from observed clock; proposed branch for AMP skips,128.0,128.0
50,early,14,5,False,5,actual_all_active_parameters,0.9090909090909091,0.0001,0.3331687413122489,4.995998000395048,non_adaptive,native RAdam formula from observed clock; proposed branch for AMP skips,128.0,128.0
50,early,15,6,False,6,actual_all_active_parameters,1.0,0.0001,0.009170416214932961,5.994163751655833,rectified,native RAdam formula from observed clock; proposed branch for AMP skips,128.0,128.0
50,early,16,7,False,7,successful_call_counter,1.0,0.0001,0.011375607542772094,6.991996003993108,rectified,native RAdam formula from observed clock; proposed branch for AMP skips,128.0,128.0
50,early,17,8,False,8,successful_call_counter,1.0,0.0001,0.013354648458465644,7.989494757897319,rectified,native RAdam formula from observed clock; proposed branch for AMP skips,128.0,128.0
50,early,18,9,False,9,successful_call_counter,1.0,0.0001,0.015324021438409146,8.986660013807295,rectified,native RAdam formula from observed clock; proposed branch for AMP skips,128.0,128.0
50,early,19,10,False,10,successful_call_counter,1.0,0.0001,0.01707375123024524,9.98349177230557,rectified,native RAdam formula from observed clock; proposed branch for AMP skips,128.0,128.0
50,early,20,11,False,11,successful_call_counter,1.0,0.0001,0.018796704324771842,10.979990034062212,rectified,native RAdam formula from observed clock; proposed branch for AMP skips,128.0,128.0
50,early,21,12,False,12,successful_call_counter,1.0,0.0001,0.020583627647704994,11.97615479973524,rectified,native RAdam formula from observed clock; proposed branch for AMP skips,128.0,128.0
50,early,22,13,False,13,successful_call_counter,1.0,0.0001,0.02229414450378206,12.971986070104549,rectified,native RAdam formula from observed clock; proposed branch for AMP skips,128.0,128.0
